x,y,nx_in_y,nx_not_in_y,not_nx_in_y,not_nx_not_in_y,oddsr,p,p_adj_bh
[529]Delta:H(5)C(2),turn,13,49,16011,117925,1.9540456242455762,0.04647466490129678,0.13696391727184265
[529]Delta:H(5)C(2),unassigned,15,47,22222,111714,1.6044192356817186,0.1504764494089906,0.29034793047910784
[529]Delta:H(5)C(2),ß-strand,1,61,23815,110121,0.0758035815696816,0.0015604090771076692,0.013896473290468298
[529]Delta:H(5)C(2),α-helix,4,58,45874,88062,0.13238961894123785,7.531226025765939e-06,0.00014218954736646092
[535]LRGG,turn,6,37,16018,117937,1.1939642226819154,0.8664006926682077,0.9504343997560081
[535]LRGG,unassigned,7,36,22230,111725,0.9772517119008347,1.0,1.0
[535]LRGG,ß-strand,9,34,23807,110148,1.2247164081745605,0.7322793216859553,0.8555342570192349
[535]LRGG,α-helix,10,33,45868,88087,0.5819532201759463,0.1747217551563484,0.3221432360695174
[686]NA-OA-NO2,α-helix,2,22,45876,88098,0.17457731909732957,0.013908814163014548,0.05861571682984702
[747]Malonyl,α-helix,1,16,45877,88104,0.12002746474268151,0.027212444698389574,0.09109414111801334
[793]Hex(1)HexNAc(1),unassigned,12,21,22225,111740,2.872955166318496,0.00481972144645457,0.028950074173173877
[793]Hex(1)HexNAc(1),ß-strand,5,28,23811,110154,0.826103781565543,0.8678998860424036,0.9504343997560081
[793]Hex(1)HexNAc(1),α-helix,3,30,45875,88090,0.19202179836512262,0.004218898047105449,0.026550931709783628
[830]Dihydroxyimidazolidine,α-helix,2,14,45876,88106,0.2743606990271913,0.11661924136075688,0.24248582344615527
[851]cGMP+RMP-loss,α-helix,6,22,45872,88098,0.5237776262802423,0.21891014578390705,0.3779767963224062
[853]Label:2H(4)+GG,α-helix,4,20,45874,88100,0.38409556611588264,0.1097835427792585,0.2364496672398985
[885]Label:13C(1)2H(3)+Oxidation,bend,5,63,10621,123309,0.9214225187297402,1.0,1.0
